Price,Area,Bedrooms,Bathrooms,Property_Type,Furnishing,Latitude,Longitude,Locality,Nearest_Hospital_km,Nearest_School_km,Nearest_Metro_km,Nearest_Bus_Stop_km,Nearest_Park_km,Nearest_Mall_km,Crime_Rate,Population_Density,Literacy_Rate,Household_Count,AQI,PM2.5,PM10,Price_Per_Sqft,Price_Per_Sqft_Outlier,Price_Tier,Is_Well_Connected,Amenity_Access_Score,Price_vs_Locality_Median_Pct,Price_Outlier,price_per_sqft,price_per_bhk,price_per_bathroom,area_per_bhk,bhk_bathroom_ratio,log_price,log_area,distance_to_city_center,distance_to_major_transit,distance_to_railway,distance_to_metro_station,locality_median_price,locality_mean_price,locality_listing_count,locality_price_std,locality_median_area,area_x_distance,nearest_upcoming_infra_km,infra_completion_status,months_since_milestone,nearest_infra_name,predicted_price,fair_price_score,fair_price_label,price_difference,price_difference_pct,affordability_index,investment_score
3000000,590,1,1,Apartment,Unfurnished,19.41750526,72.81793976,Nallasopara W,2.829744234687955,0.8114360645743222,8.36672730529803,0.7700344253247688,2.2797184102339143,7.52434588599431,143.81270903010034,1141.2396039489856,78.54211659206635,550000.0,108.90090161586296,56.603217647832665,90.02986484401454,5084.745762711865,False,Budget,0,17.9,0.0,False,5084.745762711865,3000000.0,3000000.0,590.0,1.0,14.914123179965662,6.3818160174060985,53.150406831404666,21.373601097138685,30.60662719495984,31.73568799245201,3000000.0,3000000.0,1,,590.0,31358.740030528752,25.81,Completed,29.6,Mumbai Metro Line 2A (Dahisar-DN Nagar),2682426.340440916,89.4,Above Market,-317573.6595590841,-10.6,13.6,34.3
19000000,1685,3,3,Apartment,Unfurnished,18.97142792,73.01415253,Ulwe,4.355227298120973,0.4005198645774406,15.880977432127343,0.5766887782334469,1.5626220176272363,7.339557148533789,215.3846153846154,1953.9056812769225,82.71889637260502,520000.0,106.96366458701996,59.120753359617,95.7748742864685,11275.964391691394,False,Premium,0,28.1,29.8,False,11275.964391691394,6333333.333333333,6333333.333333333,561.6666666666666,1.0,16.759949589762293,7.430114138561801,19.114292850666153,11.049131050601066,11.049131050601066,16.926272125174748,7500000.0,8626412.528089888,89,4120158.6657616287,1000.0,32207.58345337247,5.66,Completed,32.4,Mumbai Trans Harbour Link (Atal Setu),21933671.18847759,115.4,Underpriced,2933671.1884775907,15.4,8.8,53.5
4350192,484,1,1,Apartment,Unfurnished,19.24440956,73.12325287,Kalyan,2.833721636671961,1.1897510767604718,8.864613500608526,0.2899101337611734,1.77713229914964,3.7247470840971952,106.3063063063063,11281.965324457133,89.06546120881798,2400000.0,138.11781782262202,50.22251071877961,88.38884531500494,8988.0,False,Budget,1,28.8,24.4,False,8988.0,4350192.0,4350192.0,484.0,1.0,15.285730769896736,6.184148890937483,45.40373456673,16.799355115064923,1.2881432718760266,28.598245083071316,5875000.0,6701343.94090909,220,3136604.888344277,850.0,21975.40753029732,24.27,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,3999066.597961109,91.9,Above Market,-351125.40203889087,-8.1,10.6,55.4
7564352,801,2,2,Apartment,Unfurnished,19.2572937,73.14887238,Kalyan,1.8726994009419005,1.8930732981768044,10.639260426797849,0.5163742498631307,2.456843321962628,4.2362328243510685,106.3063063063063,12468.681465278452,87.40851177836562,2400000.0,129.05858496045283,62.512860285652565,96.63247547157782,9443.6354556804,False,Mid-Range,0,18.6,30.7,False,9443.6354556804,3782176.0,3782176.0,400.5,1.0,15.83895737610095,6.687108607866515,48.275894646971906,19.83545576853996,2.062871772393107,31.604866197820662,5875000.0,6701343.94090909,220,3136604.888344277,850.0,38668.9916122245,27.24,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,7448978.485552102,98.5,Fairly Priced,-115373.51444789767,-1.5,7.0,54.4
4799800,412,1,1,Apartment,Unfurnished,19.20902634,73.08127594,Dombivali,0.5828266294594706,2.180768750884842,7.105866037859138,0.7557796872664972,4.731536716033522,1.8050770563178649,106.3063063063063,10047.37928574225,86.73411482684371,2400000.0,114.18631924269076,57.19663632135467,88.61164003309737,11650.0,False,Budget,0,23.5,64.4,False,11650.0,4799800.0,4799800.0,412.0,1.0,15.384085016685365,6.023447592961033,39.5387362713886,11.378498601306879,6.875833313407779,22.707093522983833,5000000.0,5936391.36,100,3403302.626662042,722.0,16289.959343812103,18.36,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,3090702.7897472233,64.4,Overpriced,-1709097.2102527767,-35.6,7.8,54.5
41007620,891,3,3,Apartment,Unfurnished,19.09784126,72.85115814,Ville Parle,5.617318720454346,1.2595124518135428,3.775648654545325,1.2379884972024802,3.762368083169218,6.677770460179348,162.5668449197861,18379.74403133356,88.11144851758331,2100000.0,139.3247178186523,59.85236953295845,112.4380983851815,46024.26487093154,False,Luxury,0,10.1,21.3,False,46024.26487093154,13669206.666666666,13669206.666666666,297.0,1.0,17.529268485444177,6.79346613258001,17.65030942179444,2.473337247735458,4.084730881463128,1.3544997730497317,33200000.0,33851726.25,16,13274639.923265653,898.0,15726.425694818845,4.1,Under Construction,28.8,Mumbai Coastal Road (Bandra-Versova Sea Link),37378576.16508339,91.2,Above Market,-3629043.8349166065,-8.8,0.6,70.2
3510000,390,1,1,Apartment,Unfurnished,19.42060089,72.80931854,Nala Sopara,3.678548568435137,0.822869124959746,7.676856697274681,0.9367070416790716,2.117807509681789,6.5975507737703145,143.81270903010034,1250.2215462281172,79.0530676379464,550000.0,121.88724448616716,45.06671228474868,88.23050373527197,9000.0,False,Budget,0,16.1,71.0,False,9000.0,3510000.0,3510000.0,390.0,1.0,15.071126880342293,5.968707559985366,53.53328101402189,21.89911568984359,31.390716243645972,32.09077193034724,3500000.0,4066006.756756757,74,1411913.6823446667,655.0,20877.979595468536,26.24,Completed,29.6,Mumbai Metro Line 2A (Dahisar-DN Nagar),2574629.0013881642,73.4,Overpriced,-935370.9986118358,-26.6,6.9,31.0
7600395,1095,2,2,Apartment,Unfurnished,18.96756172,73.02495575,Ulwe,4.604575015461567,0.6117488577871885,15.050569317543395,0.2013009750207827,1.3598379112049537,6.44905570553591,215.3846153846154,2131.339601323831,83.93062014809935,520000.0,115.00387053520116,58.12453274826014,95.12152823031906,6941.0,False,Mid-Range,1,39.2,-20.1,False,6941.0,3800197.5,3800197.5,547.5,1.0,15.843710909162285,6.999422467507961,20.162041373468647,10.029476273440036,10.029476273440036,18.005097400715496,7500000.0,8626412.528089888,89,4120158.6657616287,1000.0,22077.43530394817,6.36,Under Construction,30.8,Navi Mumbai Metro Line 1 (Belapur-Pendhar),9705740.753533287,127.7,Underpriced,2105345.753533287,27.7,19.1,75.1
9900000,463,1,1,Apartment,Unfurnished,19.13776207,72.86013031,Jogeshwari,1.1215715650824714,0.6211672995919337,5.046411452590619,0.8019531662026315,2.747424741640637,3.437431277725867,162.5668449197861,23294.107797013367,88.94206542797284,2100000.0,147.06721322914143,70.33915478141753,111.86849929778558,21382.28941684665,False,Mid-Range,0,25.2,6.9,False,21382.289416846652,9900000.0,9900000.0,463.0,1.0,16.108045416114916,6.139884552226255,22.164102269702326,2.448445841496288,7.52325315907788,2.448445841496288,13000000.0,13774358.974358974,78,4683223.329351351,673.0,10261.979350872178,1.74,Completed,29.6,Mumbai Metro Line 7 (Dahisar E-Andheri E),10356291.32191205,104.6,Fairly Priced,456291.32191205025,4.6,4.1,54.5
12001385,415,1,1,Apartment,Unfurnished,19.0322113,72.89522552,Chembur,2.2934912930915305,1.287752269126644,10.684520679866736,1.472565504564166,3.54028382934624,10.048060027442514,162.5668449197861,20671.763168407764,88.94464775392578,2100000.0,141.088680187685,70.57650245768383,114.40458712788696,28919.0,False,Premium,0,9.4,28.2,False,28919.0,12001385.0,12001385.0,415.0,1.0,16.300532701082663,6.030685260261263,12.042684666492146,5.236631575989696,4.7891422786846425,6.1740820752017695,18400000.0,28266655.789473683,171,30541086.434238162,884.0,4997.714136594241,4.46,Under Construction,23.6,Mumbai Metro Line 3 (Colaba-Bandra-SEEPZ),11758226.64706631,98.0,Fairly Priced,-243158.35293368995,-2.0,1.2,72.1
